1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,2,2,2,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,5,0,0,0,0,1
1,2,11,2,1,1,1,2,11,2,1
1,0,3,0,1,1,1,0,3,0,1
1,0,3,0,1,1,1,0,3,0,1
1,0,3,0,1,1,1,0,3,0,1
1,0,3,0,1,1,1,0,3,0,1
1,0,3,0,1,1,1,0,3,0,1
1,0,3,0,1,1,1,0,3,0,1
1,0,3,0,1,1,1,0,3,0,1
1,0,3,0,0,0,0,0,3,0,1
1,0,3,0,0,0,0,0,3,0,1
1,0,3,0,0,5,0,0,3,0,1
1,2,3,2,1,1,1,2,3,2,1
1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1
1,0,0,68,0,0,0,0,68,0,1
1,1,1,1,2,11,2,1,1,1,1
1,0,0,0,0,3,0,0,0,0,1
1,0,0,0,0,3,0,0,0,0,1
1,0,0,0,0,3,0,0,0,0,1
1,0,0,0,0,3,0,0,0,0,1
1,0,64,0,0,3,0,65,0,0,1
1,1,1,1,1,1,1,1,1,1,1
